radiant_win,dire_team,radiant_team,duration,avg_mmr
True,"[44, 40, 96, 19, 84]","[138, 36, 28, 30, 14]",2323,4437
False,"[81, 86, 21, 58, 65]","[2, 53, 43, 30, 44]",3054,3784
False,"[112, 88, 35, 71, 11]","[14, 85, 93, 84, 97]",2363,2747
False,"[107, 35, 80, 45, 39]","[43, 14, 84, 67, 27]",2394,2797
True,"[27, 35, 67, 14, 72]","[37, 82, 71, 51, 93]",2721,2630
True,"[75, 64, 70, 68, 69]","[126, 20, 23, 6, 14]",1925,3005
False,"[114, 27, 31, 74, 53]","[86, 79, 32, 96, 54]",2965,4114
True,"[78, 105, 26, 13, 42]","[96, 128, 98, 18, 45]",3121,4228
False,"[26, 2, 21, 54, 74]","[41, 13, 64, 93, 85]",3342,4546
True,"[101, 48, 23, 86, 129]","[107, 54, 40, 74, 30]",2806,3345
False,"[25, 99, 94, 26, 71]","[111, 30, 29, 32, 10]",2199,2971
True,"[28, 107, 101, 13, 93]","[71, 58, 18, 80, 7]",1510,3351
False,"[93, 99, 84, 30, 23]","[67, 81, 14, 105, 1]",2706,2085
False,"[7, 67, 81, 37, 76]","[36, 45, 70, 26, 71]",2408,2931
False,"[126, 14, 93, 110, 88]","[37, 51, 75, 35, 49]",1931,3435
True,"[29, 17, 30, 7, 44]","[138, 76, 23, 75, 74]",1571,4370
True,"[51, 93, 87, 6, 42]","[41, 84, 77, 79, 90]",2072,2571
True,"[37, 95, 104, 14, 74]","[99, 53, 34, 102, 11]",2795,3299
True,"[57, 18, 113, 25, 101]","[71, 62, 44, 106, 83]",2125,4038
False,"[94, 20, 2, 101, 44]","[104, 76, 123, 12, 121]",2624,1527
True,"[99, 26, 46, 23, 5]","[48, 58, 71, 106, 53]",1793,2515
False,"[39, 93, 78, 53, 14]","[8, 84, 97, 31, 35]",2732,3035
True,"[94, 22, 2, 64, 34]","[27, 103, 81, 17, 9]",3581,2291
True,"[99, 12, 36, 81, 14]","[138, 103, 44, 47, 25]",3129,2582
False,"[53, 20, 14, 81, 114]","[44, 86, 7, 26, 23]",2004,2884
False,"[14, 71, 27, 1, 33]","[32, 25, 26, 59, 74]",2599,3051
True,"[99, 11, 5, 42, 85]","[40, 14, 94, 75, 104]",1436,2313
True,"[80, 10, 66, 114, 128]","[87, 62, 34, 137, 8]",1650,2510
False,"[70, 19, 43, 14, 17]","[84, 2, 101, 8, 13]",2910,2344
True,"[14, 30, 69, 18, 107]","[17, 54, 53, 56, 67]",2199,3020
True,"[99, 84, 91, 109, 71]","[80, 2, 58, 93, 27]",1938,3655
True,"[65, 71, 81, 5, 36]","[99, 25, 41, 26, 53]",2633,2790
False,"[93, 71, 99, 27, 74]","[26, 39, 54, 29, 64]",2946,2890
False,"[84, 76, 48, 20, 126]","[90, 51, 135, 53, 67]",2213,3678
True,"[26, 93, 11, 30, 7]","[107, 76, 75, 41, 17]",3306,3515
True,"[74, 135, 22, 97, 95]","[119, 76, 21, 10, 81]",2660,2657
True,"[99, 75, 30, 43, 1]","[37, 74, 58, 11, 129]",3101,706
True,"[74, 53, 85, 64, 42]","[71, 99, 68, 6, 11]",2701,900
False,"[107, 70, 16, 22, 34]","[71, 5, 93, 50, 26]",1934,2383
False,"[14, 83, 113, 67, 71]","[13, 25, 48, 60, 20]",2731,2755
False,"[71, 50, 111, 93, 36]","[74, 2, 12, 37, 35]",2244,2773
True,"[22, 75, 46, 89, 104]","[86, 88, 36, 76, 67]",2165,3386
False,"[93, 4, 29, 32, 110]","[8, 71, 64, 62, 56]",2938,2753
True,"[53, 2, 65, 46, 11]","[26, 50, 107, 5, 138]",3669,2619
True,"[69, 35, 39, 75, 18]","[15, 95, 54, 11, 87]",2533,3449
True,"[67, 40, 28, 11, 58]","[121, 128, 16, 12, 14]",3387,2849
False,"[105, 27, 26, 42, 93]","[81, 5, 32, 44, 53]",2381,2269
True,"[120, 42, 72, 104, 109]","[14, 67, 96, 45, 114]",1269,3164
False,"[13, 5, 67, 30, 36]","[81, 71, 74, 96, 34]",3082,2322
True,"[110, 36, 62, 58, 8]","[71, 25, 123, 64, 83]",2312,2747
False,"[75, 104, 53, 5, 1]","[98, 138, 28, 68, 14]",2873,2114
True,"[87, 45, 81, 60, 119]","[7, 75, 6, 98, 106]",2539,3089
True,"[14, 95, 64, 49, 31]","[72, 110, 121, 44, 35]",1822,2539
True,"[99, 45, 13, 31, 42]","[101, 1, 41, 35, 75]",2068,4040
False,"[53, 104, 42, 14, 91]","[8, 31, 60, 106, 76]",1755,3164
False,"[120, 35, 2, 123, 41]","[99, 12, 53, 119, 11]",2695,3508
False,"[22, 44, 121, 60, 30]","[104, 135, 72, 88, 83]",1904,3429
True,"[20, 54, 39, 29, 45]","[15, 47, 64, 30, 17]",1699,2877
True,"[98, 8, 25, 53, 36]","[15, 63, 81, 64, 68]",2013,1068
False,"[83, 54, 74, 126, 129]","[26, 71, 18, 47, 14]",1981,2560
True,"[93, 69, 74, 113, 68]","[58, 99, 101, 50, 63]",3507,2273
False,"[110, 67, 123, 23, 96]","[135, 22, 100, 138, 46]",3148,4832
True,"[7, 110, 93, 30, 71]","[123, 70, 14, 13, 87]",2420,2183
True,"[135, 23, 72, 5, 30]","[54, 46, 104, 83, 21]",3212,2231
False,"[71, 48, 17, 99, 53]","[25, 39, 64, 18, 138]",1497,2287
False,"[97, 14, 64, 23, 82]","[3, 2, 74, 114, 42]",1643,2352
True,"[86, 23, 72, 31, 2]","[11, 7, 27, 70, 30]",2949,4015
True,"[70, 17, 30, 51, 87]","[9, 28, 35, 53, 114]",3022,3069
True,"[7, 47, 81, 100, 58]","[8, 104, 2, 101, 83]",2851,2321
False,"[129, 64, 6, 8, 14]","[105, 100, 42, 26, 71]",2053,3781
False,"[11, 26, 6, 108, 14]","[113, 107, 114, 54, 101]",2067,2794
False,"[104, 71, 10, 54, 58]","[12, 37, 69, 36, 27]",2543,2919
True,"[35, 67, 88, 47, 26]","[1, 20, 123, 34, 137]",4450,2958
False,"[47, 22, 68, 32, 2]","[6, 36, 84, 5, 4]",2969,1059
True,"[14, 89, 42, 75, 17]","[8, 138, 41, 119, 87]",2239,312
False,"[56, 107, 31, 67, 18]","[27, 69, 63, 22, 35]",2273,2325
False,"[54, 9, 34, 121, 78]","[135, 7, 5, 84, 39]",2186,1858
True,"[71, 135, 112, 88, 138]","[67, 97, 53, 104, 34]",2049,3731
False,"[28, 91, 62, 18, 82]","[70, 42, 14, 119, 26]",2753,2755
True,"[44, 37, 102, 18, 86]","[14, 4, 106, 11, 112]",2108,3393
True,"[112, 27, 98, 54, 11]","[37, 121, 62, 81, 95]",2456,1386
True,"[2, 41, 7, 119, 79]","[114, 80, 39, 71, 87]",2655,2603
True,"[74, 56, 42, 8, 53]","[30, 84, 104, 81, 72]",3084,3113
True,"[11, 101, 37, 99, 112]","[14, 138, 47, 7, 44]",2776,3785
True,"[114, 96, 68, 62, 10]","[99, 14, 138, 107, 42]",3030,2016
False,"[137, 114, 32, 123, 101]","[63, 96, 9, 36, 81]",3352,2781
True,"[9, 111, 54, 136, 45]","[96, 39, 100, 44, 53]",2453,2517
False,"[88, 120, 73, 81, 30]","[71, 64, 93, 102, 44]",1454,2750
True,"[7, 28, 57, 63, 71]","[137, 123, 87, 44, 107]",2412,3577
True,"[81, 58, 10, 74, 14]","[93, 73, 119, 57, 16]",1575,3961
True,"[25, 44, 5, 28, 64]","[30, 71, 31, 47, 15]",3523,4088
False,"[7, 135, 20, 44, 137]","[99, 138, 50, 22, 121]",3571,3210
False,"[104, 21, 30, 80, 15]","[102, 11, 14, 8, 2]",1614,2201
True,"[7, 55, 90, 14, 33]","[39, 72, 81, 62, 53]",3064,2143
True,"[78, 45, 1, 80, 68]","[44, 110, 120, 111, 84]",1955,3773
False,"[75, 16, 9, 93, 14]","[63, 1, 42, 135, 123]",2825,2417
False,"[14, 65, 75, 53, 42]","[26, 6, 58, 7, 25]",2880,2077
False,"[85, 20, 45, 123, 70]","[44, 86, 35, 107, 81]",1940,2068
False,"[30, 14, 21, 135, 42]","[93, 123, 20, 80, 49]",2552,2684
False,"[5, 44, 108, 47, 84]","[67, 16, 14, 37, 58]",2354,2986
True,"[11, 64, 8, 57, 31]","[71, 63, 14, 137, 50]",1737,2857
True,"[41, 84, 136, 121, 74]","[96, 21, 45, 106, 138]",2013,1816
False,"[7, 64, 8, 33, 25]","[63, 72, 14, 21, 37]",2513,3418
False,"[18, 58, 25, 84, 96]","[106, 71, 97, 85, 44]",2355,2929
True,"[71, 87, 54, 35, 85]","[119, 8, 2, 76, 22]",3492,3308
False,"[15, 20, 7, 87, 19]","[21, 71, 6, 86, 96]",2511,4219
False,"[30, 87, 19, 84, 71]","[77, 1, 66, 126, 27]",3263,2758
True,"[86, 93, 25, 129, 83]","[23, 26, 30, 114, 71]",2073,3899
True,"[54, 42, 138, 45, 120]","[19, 14, 10, 121, 74]",2393,5491
False,"[53, 23, 13, 109, 26]","[6, 106, 60, 110, 27]",2830,2698
True,"[71, 83, 11, 28, 39]","[75, 53, 93, 96, 85]",1905,2946
True,"[121, 80, 21, 138, 8]","[25, 18, 15, 40, 102]",1812,3633
False,"[76, 22, 53, 20, 93]","[13, 30, 2, 86, 18]",3180,2423
True,"[56, 25, 44, 86, 28]","[81, 27, 84, 85, 6]",1735,2675
True,"[81, 64, 41, 7, 74]","[17, 97, 53, 104, 93]",1645,1331
True,"[119, 3, 12, 25, 137]","[11, 2, 42, 68, 71]",1169,2007
True,"[8, 51, 62, 50, 85]","[72, 32, 14, 35, 37]",1883,3503
True,"[35, 110, 50, 14, 22]","[44, 111, 128, 100, 21]",3105,4093
False,"[71, 120, 109, 68, 47]","[128, 74, 29, 35, 1]",2060,3748
False,"[63, 84, 41, 112, 101]","[70, 104, 83, 121, 35]",4734,2102
False,"[20, 36, 121, 81, 2]","[84, 8, 86, 135, 11]",2154,3466
True,"[138, 71, 2, 84, 48]","[8, 86, 74, 14, 42]",2012,1363
False,"[128, 69, 63, 53, 81]","[85, 74, 36, 101, 48]",2127,3662
True,"[87, 88, 23, 13, 18]","[30, 119, 78, 14, 34]",2500,4144
True,"[7, 54, 35, 58, 21]","[96, 59, 53, 41, 64]",1216,841
False,"[64, 23, 68, 46, 114]","[104, 54, 17, 30, 7]",2900,3570
True,"[76, 119, 104, 87, 15]","[14, 138, 4, 45, 25]",2562,4197
True,"[107, 64, 70, 51, 57]","[30, 6, 97, 23, 7]",2300,1508
